First Name,Middle Name,Last Name,Gender (M/F),DOB (YYYY-MM-DD),Religion,Blood Group,Genotype,Home Town,Admission Number (Leave blank to auto-generate),Class Name,Parent Name,Parent Phone
Olumide,,Olayinka,M,2012-02-10,Christianity,A-,SS,Ibadan,,JSS 2C,Alh. Sadiya Oyelaran,8183243631
Olamide,,Ayodele,F,2011-03-09,Islam,B+,AA,Bauchi,,JSS 2C,Alhaja Hauwa Suleiman,7090637711
Zainab,,Lawal,F,2011-07-27,Christianity,O-,AS,Port Harcourt,,JSS 2C,Alh. Chukwudi Ayodele,8145562073
Ahmed,,Okonkwo,M,2010-03-20,Islam,A+,SS,Bauchi,,JSS 2C,Mrs. Amina Adeyemi,8085153482
Maryam,,Adeleke,F,2012-09-19,Christianity,A+,AC,Kaduna,,JSS 2C,Alh. Adaeze Nwachukwu,8083662022
Sadiq,,Ibrahim,M,2012-08-18,Islam,B+,SS,Owerri,,JSS 2C,Mrs. Fatima Ibrahim,9150421037
Funke,,Ogunleye,F,2012-12-05,Christianity,O+,AA,Lagos,,JSS 2C,Alhaja Grace Garba,7071584683
Jamila,,Bashir,F,2010-11-14,Islam,O-,AC,Ibadan,,JSS 2C,Mr. Sadiya Aliyu,8124068630
Bala,,Okafor,M,2010-09-03,Islam,B+,AA,Port Harcourt,,JSS 2C,Alh. Emeka Ekwueme,8117031362
Salamatu,,Aliyu,F,2012-07-25,Islam,A+,AA,Bauchi,,JSS 2C,Mrs. Ngozi Sani,8176337557
Amina,,Yakubu,F,2011-12-03,Islam,A+,SS,Calabar,,JSS 2C,Alh. Chukwudi Umar,8040783424
Chinedu,,Fashola,M,2010-08-17,Islam,B+,SS,Maiduguri,,JSS 2C,Alhaja Usman Okonkwo,7053737400
Tunde,,Ibrahim,M,2010-12-21,Christianity,B+,AA,Abuja,,JSS 2C,Alh. Sadiya Aliyu,8097415050
Bala,,Obi,M,2012-08-14,Christianity,A-,AA,Abuja,,JSS 2C,Alh. Binta Musa,8149425526
Aisha,,Eze,F,2010-12-18,Islam,O-,AC,Maiduguri,,JSS 2C,Mrs. Femi Umar,9182857299
Ruqayya,,Tanko,F,2010-07-11,Christianity,A+,AS,Sokoto,,JSS 2C,Alhaja Kemi Okafor,8115576049
Maryam,,Aliyu,F,2011-12-12,Islam,B+,AA,Gombe,,JSS 2C,Mrs. Ngozi Olayinka,9047277859
Sani,,Yakubu,M,2011-02-22,Islam,B+,AA,Calabar,,JSS 2C,Alhaja Fatima Oyelaran,8172387335
Ese,,Sani,F,2010-12-26,Christianity,B+,AA,Enugu,,JSS 2C,Mrs. Binta Okafor,8029777976
Adaeze,,Aliyu,F,2011-08-23,Islam,A+,SS,Ilorin,,JSS 2C,Alh. Funmilayo Bashir,9021878701
Zubairu,,Ogunleye,M,2012-10-07,Islam,B+,AA,Abeokuta,,JSS 2C,Mr. Chukwudi Danjuma,9068745650
Yusuf,,Tanko,M,2011-07-20,Islam,A-,AA,Gombe,,JSS 2C,Mrs. Olusegun Ogunleye,7012799315
Abdullahi,,Fashola,M,2011-08-04,Christianity,O-,AC,Benin City,,JSS 2C,Mrs. Kemi Abdullahi,9010066233
Ngozi,,Adeyemi,F,2010-01-07,Islam,A+,AS,Ibadan,,JSS 2C,Mrs. Femi Musa,8170874074
Ahmed,,Umar,M,2012-03-28,Christianity,AB+,AS,Port Harcourt,,JSS 2C,Alhaja Adaeze Ayodele,9173312196
Yusuf,,Mohammed,M,2011-08-13,Christianity,AB+,SS,Sokoto,,JSS 2C,Mr. Sadiya Okonkwo,9006778057
Ladi,,Danjuma,F,2010-01-07,Christianity,O-,AC,Ilorin,,JSS 2C,Mr. Hauwa Okonkwo,8056915175
Peter,,Balogun,M,2009-07-26,Islam,B+,AS,Ilorin,,JSS 3A,Alhaja Adaeze Adeyemi,9074537086
Halima,,Umar,F,2010-03-17,Islam,AB+,AC,Ilorin,,JSS 3A,Mr. Sadiya Yakubu,7039972463
Chika,,Eze,F,2011-09-21,Christianity,A+,AA,Sokoto,,JSS 3A,Mrs. Femi Suleiman,8077209226
Aisha,,Aliyu,F,2009-08-22,Islam,B+,AS,Benin City,,JSS 3A,Mrs. Emeka Bello,8168382080
Nnamdi,,Oyelaran,M,2009-01-14,Christianity,A+,AA,Bauchi,,JSS 3A,Mrs. Funmilayo Musa,8080886421
Chinedu,,Yakubu,M,2009-12-08,Islam,O-,AA,Zaria,,JSS 3A,Mrs. Emeka Nwachukwu,9184073742
Obinna,,Abdullahi,M,2010-11-12,Islam,A-,SS,Gombe,,JSS 3A,Alhaja Amina Balogun,7061764115
Titilayo,,Oyelaran,F,2009-06-12,Islam,A+,AC,Ibadan,,JSS 3A,Mrs. Binta Nwachukwu,9146533879
Zainab,,Yakubu,F,2010-08-24,Christianity,A+,SS,Ibadan,,JSS 3A,Mr. Ngozi Garba,7062053454
Aisha,,Adeleke,F,2009-06-24,Christianity,A+,AC,Kano,,JSS 3A,Mr. Ali Musa,9035421208
Peter,,Aliyu,M,2009-03-08,Islam,O-,AC,Owerri,,JSS 3A,Mrs. Solomon Umar,7074401878
Safiya,,Suleiman,F,2011-05-02,Islam,A-,SS,Gombe,,JSS 3A,Mrs. Fatima Bello,8038998767
Khadija,,Okafor,F,2009-07-09,Christianity,A-,AS,Calabar,,JSS 3A,Alhaja Rasheed Ibrahim,9090059256
Yetunde,,Bello,F,2011-06-27,Christianity,A-,AA,Jos,,JSS 3A,Alh. Chukwudi Tanko,8074183710
Kabir,,Ekwueme,M,2009-08-04,Islam,AB+,AC,Sokoto,,JSS 3A,Mrs. Adaeze Lawal,8172660394
Obinna,,Bello,M,2011-11-03,Islam,A+,SS,Calabar,,JSS 3A,Mr. Tanko Umar,8075814783
Zainab,,Fashola,F,2010-07-19,Christianity,O-,AS,Jos,,JSS 3A,Alhaja Femi Ogunleye,7035161089
Jamila,,Tanko,F,2010-09-12,Christianity,O+,SS,Enugu,,JSS 3A,Mr. Binta Suleiman,8052704026
Maryam,,Lawal,F,2009-05-23,Christianity,O+,SS,Sokoto,,JSS 3A,Alh. Sadiya Olayinka,9130330328
Umar,,Eze,M,2010-06-15,Christianity,A-,AS,Abeokuta,,JSS 3A,Alhaja Fatima Ekwueme,9111235217
Zubairu,,Bashir,M,2010-11-09,Christianity,A-,SS,Gombe,,JSS 3A,Alhaja Funmilayo Oyelaran,7058691589
Bala,,Aliyu,M,2011-03-23,Islam,B+,AC,Sokoto,,JSS 3A,Alhaja Femi Adeyemi,7071801120
Wale,,Abdullahi,M,2010-11-26,Islam,A+,AC,Katsina,,JSS 3A,Alh. Kemi Abdullahi,9044715323
Ahmed,,Garba,M,2010-06-16,Christianity,A-,AA,Gombe,,JSS 3A,Alhaja Tanko Okafor,8162972184
Nnamdi,,Bashir,M,2010-01-25,Christianity,O+,AC,Ibadan,,JSS 3A,Alhaja Ali Tanko,7049654079
Abdullahi,,Danjuma,M,2011-06-19,Islam,A-,AS,Bauchi,,JSS 3A,Mr. Adaeze Danjuma,9100125834
Hauwa,,Adeleke,F,2010-07-06,Christianity,A-,AC,Kano,,JSS 3A,Mr. Usman Adeleke,8011974963
Chioma,,Ogunleye,F,2010-07-10,Islam,A+,SS,Jos,,JSS 3A,Alh. Hauwa Nwachukwu,8186925245
Khadija,,Abubakar,F,2010-12-12,Islam,O+,AS,Lagos,,JSS 3A,Alh. Ngozi Abdullahi,9199986121
Ado,,Mohammed,M,2009-06-19,Christianity,A-,AA,Port Harcourt,,JSS 3A,Mr. Amina Obi,9169413401
Hadiza,,Okafor,F,2009-02-14,Christianity,O-,AS,Jos,,JSS 3A,Alh. Kemi Bello,8109502592
Adaeze,,Oyelaran,F,2009-11-11,Christianity,B+,AC,Ilorin,,JSS 3A,Alh. Tanko Danjuma,8035588351
Chinedu,,Adeyemi,M,2009-12-08,Islam,A+,SS,Zaria,,JSS 3A,Alhaja Tanko Adeyemi,9010421905
Bala,,Abdullahi,M,2011-05-17,Christianity,O+,SS,Benin City,,JSS 3A,Alh. Solomon Balogun,9076097302
Segun,,Ogunleye,M,2010-01-12,Islam,O-,AA,Lagos,,JSS 3A,Alhaja Usman Yakubu,8043714413
Ladi,,Adeyemi,F,2011-05-07,Islam,O-,AS,Sokoto,,JSS 3A,Mr. Femi Okonkwo,9199278951
Sadiq,,Yakubu,M,2010-11-21,Christianity,A-,AA,Benin City,,JSS 3A,Mr. Kemi Abubakar,9036570034
Ruqayya,,Adeleke,F,2009-06-27,Islam,O+,AA,Abuja,,JSS 3A,Mr. Ngozi Abdullahi,7063197321
Tajudeen,,Garba,M,2011-04-16,Christianity,B+,AA,Zaria,,JSS 3A,Alh. Adaeze Okafor,7071861700
Salamatu,,Obi,F,2010-10-28,Christianity,O+,AC,Abuja,,JSS 3A,Alhaja Sadiya Danjuma,7081818722
Obinna,,Ogunleye,M,2011-02-24,Islam,A-,AS,Ilorin,,JSS 3B,Mrs. Tanko Okafor,8156943658
Suleiman,,Sani,M,2011-04-01,Christianity,A+,AC,Enugu,,JSS 3B,Alhaja Binta Okafor,9070091729
Hauwa,,Suleiman,F,2010-10-24,Christianity,A-,AC,Lagos,,JSS 3B,Mr. Femi Umar,9004481499
Babatunde,,Umar,M,2009-06-06,Christianity,B+,AS,Ilorin,,JSS 3B,Alh. Adaeze Sani,9154017109
Kaltum,,Abubakar,F,2009-12-09,Islam,B+,AA,Lagos,,JSS 3B,Alh. Fatima Garba,8197980433
Yetunde,,Okonkwo,F,2011-09-25,Islam,B+,AC,Enugu,,JSS 3B,Mrs. Adaeze Ayodele,8003627407
Zubairu,,Tanko,M,2009-05-24,Christianity,A+,SS,Kano,,JSS 3B,Alhaja Yakubu Ayodele,7088671900
Segun,,Balogun,M,2011-06-27,Islam,A+,AA,Kaduna,,JSS 3B,Mrs. Ali Danjuma,9076511858
Tajudeen,,Oyelaran,M,2009-05-18,Christianity,O+,AA,Maiduguri,,JSS 3B,Alh. Tanko Umar,8144802008
Zainab,,Aliyu,F,2009-05-25,Islam,B+,AS,Ilorin,,JSS 3B,Mr. Chukwudi Fashola,9130102575
Ladi,,Oyelaran,F,2009-08-15,Islam,O+,AA,Kano,,JSS 3B,Alhaja Ngozi Abubakar,8139093019
Wale,,Olayinka,M,2010-11-08,Islam,AB+,AA,Abuja,,JSS 3B,Alh. Rasheed Ibrahim,8092539597
Mariam,,Sani,F,2009-08-17,Christianity,AB+,AC,Benin City,,JSS 3B,Alhaja Yakubu Adeleke,7048652126
Fatima,,Bashir,F,2009-09-24,Christianity,B+,AS,Owerri,,JSS 3B,Mr. Amina Aliyu,8114958212
Salamatu,,Yakubu,F,2010-02-18,Christianity,O+,AS,Kaduna,,JSS 3B,Alhaja Solomon Tanko,9133225032
Fatima,,Umar,F,2010-02-08,Christianity,O-,AS,Calabar,,JSS 3B,Alhaja Solomon Danjuma,9117346252
Babatunde,,Obi,M,2010-01-03,Christianity,O-,AA,Kaduna,,JSS 3B,Mr. Solomon Obi,7008324957
Chioma,,Nwachukwu,F,2011-08-09,Islam,AB+,AC,Lagos,,JSS 3B,Alh. Fatima Eze,8100879336
Khadija,,Abdullahi,F,2011-08-09,Islam,A+,AA,Calabar,,JSS 3B,Alhaja Tanko Ibrahim,8138522519
Sadiq,,Tanko,M,2009-04-10,Christianity,O+,AS,Ibadan,,JSS 3B,Alhaja Binta Yakubu,9107074620
Chika,,Umar,F,2009-05-14,Islam,A-,SS,Port Harcourt,,JSS 3B,Alhaja Tanko Sani,9002167309
Safiya,,Tanko,F,2010-05-20,Islam,AB+,AA,Owerri,,JSS 3B,Alhaja Funmilayo Adeyemi,9155320539
Olumide,,Musa,M,2010-06-12,Christianity,O+,AC,Minna,,JSS 3B,Alh. Emeka Ibrahim,8141820127
Khadija,,Ogunleye,F,2009-07-13,Islam,A-,AA,Minna,,JSS 3B,Alh. Sadiya Oyelaran,9112511723
Hauwa,,Nwachukwu,F,2011-07-24,Islam,A+,AC,Jos,,JSS 3B,Alhaja Olusegun Suleiman,7061320764
Ahmed,,Olayinka,M,2010-05-26,Christianity,A+,AS,Abeokuta,,JSS 3B,Mrs. Ali Mohammed,8167651942
Bala,,Mohammed,M,2011-09-28,Islam,O-,AC,Gombe,,JSS 3B,Mr. Funmilayo Bashir,9066364690
Fatima,,Okafor,F,2009-09-08,Christianity,O+,AA,Gombe,,JSS 3B,Alhaja Sadiya Umar,9002627274
Chika,,Aliyu,F,2010-06-28,Christianity,O+,AC,Sokoto,,JSS 3B,Alh. Usman Ibrahim,8199038525
Blessing,,Garba,F,2009-02-25,Christianity,A+,AS,Ilorin,,JSS 3B,Alh. Adaeze Adeyemi,9132051975
Halima,,Ayodele,F,2010-12-12,Islam,A-,AC,Ibadan,,JSS 3B,Mrs. Rasheed Abubakar,7083041277
Ibrahim,,Balogun,M,2010-02-25,Christianity,AB+,AC,Enugu,,JSS 3B,Alh. Femi Mohammed,8186330220
Hadiza,,Okonkwo,F,2009-10-25,Christianity,O-,AS,Katsina,,JSS 3B,Alhaja Kemi Aliyu,9196079417
Chiamaka,,Yakubu,F,2010-12-12,Islam,A-,AA,Port Harcourt,,JSS 3B,Alh. Rasheed Adeleke,8128826189
Nnamdi,,Eze,M,2009-06-14,Islam,O-,AS,Jos,,JSS 3B,Mrs. Ngozi Okonkwo,8025017657
Ikenna,,Obi,M,2010-08-05,Christianity,B+,AS,Sokoto,,JSS 3B,Mrs. Binta Olayinka,7089599558
Bilkisu,,Lawal,F,2009-10-28,Christianity,A-,SS,Enugu,,JSS 3B,Mrs. Ali Abubakar,8125585379
Blessing,,Ibrahim,F,2011-01-22,Islam,AB+,AS,Lagos,,JSS 3B,Mr. Usman Balogun,8153485384
Chika,,Bashir,F,2011-04-17,Christianity,A+,AC,Benin City,,JSS 3B,Mrs. Sadiya Bashir,7035108645
Mariam,,Oyelaran,F,2010-05-27,Islam,O+,AC,Kaduna,,JSS 3B,Mrs. Usman Olayinka,9115510747
Salamatu,,Fashola,F,2010-01-12,Christianity,A-,SS,Benin City,,JSS 3C,Mrs. Olusegun Olayinka,9164605331
Ese,,Okonkwo,F,2011-02-24,Islam,A+,AS,Abeokuta,,JSS 3C,Mr. Hauwa Musa,8089499381
Folake,,Obi,F,2010-02-21,Christianity,O-,AS,Abeokuta,,JSS 3C,Mr. Usman Abdullahi,9166385133
Ruqayya,,Olayinka,F,2010-08-22,Christianity,O+,AC,Calabar,,JSS 3C,Mrs. Ngozi Ogunleye,8022139339
Umar,,Adeleke,M,2011-01-26,Christianity,O+,AC,Port Harcourt,,JSS 3C,Mr. Chukwudi Abubakar,9122638797
Sani,,Bashir,M,2009-04-05,Islam,B+,AS,Calabar,,JSS 3C,Mr. Fatima Adeyemi,8031591724
Sadiq,,Okafor,M,2009-08-27,Islam,AB+,AC,Ilorin,,JSS 3C,Mrs. Solomon Garba,7040569678
Ese,,Mohammed,F,2009-09-03,Islam,O-,AC,Gombe,,JSS 3C,Mr. Amina Ekwueme,9115109986
Titilayo,,Tanko,F,2009-09-25,Christianity,O+,AC,Kaduna,,JSS 3C,Alh. Kemi Lawal,9027995506
Ibrahim,,Olayinka,M,2010-11-09,Islam,A+,AC,Benin City,,JSS 3C,Alh. Ali Okonkwo,9199558845
Ngozi,,Suleiman,F,2011-04-28,Christianity,A-,AC,Minna,,JSS 3C,Mrs. Femi Obi,8042749511
Safiya,,Nwachukwu,F,2009-05-14,Islam,AB+,AA,Enugu,,JSS 3C,Alh. Adaeze Musa,8143952127
Aisha,,Mohammed,F,2009-07-22,Christianity,O-,AA,Jos,,JSS 3C,Alh. Kemi Nwachukwu,8005467768
Olamide,,Bello,F,2010-09-03,Islam,A+,AS,Benin City,,JSS 3C,Mr. Funmilayo Mohammed,9043267763
Ikenna,,Danjuma,M,2009-02-03,Islam,O-,AA,Ilorin,,JSS 3C,Mrs. Ali Adeleke,7079119354
Rahma,,Olayinka,F,2010-04-26,Christianity,A+,AC,Calabar,,JSS 3C,Mr. Grace Umar,8182991497
Hauwa,,Yakubu,F,2011-03-07,Islam,O+,SS,Port Harcourt,,JSS 3C,Alh. Ngozi Abdullahi,8046225256
Femi,,Adeyemi,M,2009-08-24,Islam,AB+,SS,Port Harcourt,,JSS 3C,Alhaja Femi Mohammed,8146114711
Segun,,Bashir,M,2009-08-06,Christianity,A-,AA,Sokoto,,JSS 3C,Mrs. Ali Bashir,7058114962
Emeka,,Lawal,M,2011-01-11,Christianity,O+,AS,Katsina,,JSS 3C,Alhaja Olusegun Ayodele,9127936176
Peter,,Ibrahim,M,2011-09-27,Christianity,A-,SS,Kano,,JSS 3C,Mr. Chukwudi Oyelaran,8045134763
Adaeze,,Umar,F,2009-04-03,Christianity,A-,SS,Zaria,,JSS 3C,Mr. Adaeze Sani,8111045312
Salamatu,,Balogun,F,2011-07-18,Islam,O+,AA,Ilorin,,JSS 3C,Alhaja Fatima Tanko,9001806139
Zubairu,,Nwachukwu,M,2010-07-01,Christianity,O+,SS,Katsina,,JSS 3C,Alh. Usman Bashir,7032499306
Ngozi,,Suleiman,F,2011-02-22,Christianity,AB+,AC,Enugu,,JSS 3C,Mr. Binta Ayodele,9032142250
Jamila,,Sani,F,2009-08-11,Islam,B+,AA,Port Harcourt,,JSS 3C,Alhaja Grace Danjuma,9161232965
Bashir,,Garba,M,2011-06-07,Islam,O-,SS,Port Harcourt,,JSS 3C,Alh. Funmilayo Umar,9157280620
Bashir,,Abubakar,M,2009-06-02,Islam,B+,AA,Bauchi,,JSS 3C,Alhaja Hauwa Bashir,8005951747
Ladi,,Sani,F,2010-07-10,Christianity,A-,AA,Abeokuta,,JSS 3C,Alhaja Ngozi Danjuma,7028940285
Sadiq,,Abubakar,M,2009-10-02,Islam,A+,AC,Sokoto,,JSS 3C,Alh. Solomon Okonkwo,8011845897
Hauwa,,Danjuma,F,2010-06-02,Christianity,AB+,AC,Minna,,JSS 3C,Alh. Tanko Ibrahim,9078158454
Folake,,Garba,F,2009-05-15,Christianity,O-,AS,Kano,,JSS 3C,Mrs. Yakubu Ogunleye,9042803140
Bala,,Abdullahi,M,2010-02-10,Christianity,O-,AA,Maiduguri,,JSS 3C,Alh. Chukwudi Musa,8052156207
Ngozi,,Sani,F,2010-06-21,Christianity,A+,SS,Lagos,,JSS 3C,Alhaja Adaeze Adeyemi,7091306162
Zainab,,Ayodele,F,2010-06-26,Islam,O-,AC,Minna,,JSS 3C,Mrs. Sadiya Musa,8157321635
Folake,,Okafor,F,2009-06-11,Islam,O-,AC,Ibadan,,JSS 3C,Mrs. Tanko Sani,9060231872
Peter,,Nwachukwu,M,2011-05-08,Islam,B+,AS,Abeokuta,,JSS 3C,Mrs. Hauwa Ekwueme,8052061289
Salamatu,,Aliyu,F,2011-12-18,Islam,A-,AA,Ilorin,,JSS 3C,Alhaja Femi Ekwueme,9169135975
Yusuf,,Balogun,M,2009-01-06,Islam,O-,AS,Kano,,JSS 3C,Alh. Femi Bello,9017490029
Nnamdi,,Ibrahim,M,2010-06-05,Islam,A-,AS,Katsina,,JSS 3C,Mr. Adaeze Eze,9068483123
